CaseRef,CaseId,CaseSystemId,NamedIndividual,AccusedRef,CaseStart_date,CaseStart_date_as_date,Case_date,Case_date_as_date,Age_at_case,CaseCommonName,Commission,Complaint,Correspondence,Chronicle,Other,Suspects_text,UNorthodoxRelPract_p,UNorthodoxRelPract_s,Consulting_p,Consulting_s,Demonic_p,Demonic_s,Demonic_possess_p,Demonic_possess_s,Fairies_p,Fairies_s,Folk_healing_p,Folk_healing_s,Maleficium_p,Maleficium_s,Midwifery_p,Midwifery_s,ImplicatedByAnother_p,ImplicatedByAnother_s,Neighbhd_dispute_p,Neighbhd_dispute_s,PoliticalMotive_p,PoliticalMotive_s,PropertyMotive_p,PropertyMotive_s,RefusedCharity_p,RefusedCharity_s,Treason_p,Treason_s,Other_p,Other_s,OtherText,NotEnoughInfo_p,NotEnoughInfo_s,WhiteMagic_p,WhiteMagic_s,Charnotes,DemonicPact,DevilNotes,WitchesMeeting,MeetingName,DevilPresent,Maleficium,CommunalSex,DevilWorship,FoodAndDrink,Dancing,Singing,SingingText,OtherPractices,MeetingNotes,Elphane/Fairyland,Food/Drink,SpecificVerbalFormulae,SpecificRitualActs,Familiars,Shape-Changing,Dreams/Visions,UnorthodoxReligiousPractice,SympatheticMagic,Ridingdead,FolkNotes,HumanIllness,HumanDeath,AnimalIllness,AnimalDeath,FemaleInfertility,MaleImpotence,AggravatingDisease,TransferringDisease,LayingOn,Removalbewitchment,Quarreling,Cursing,Poisoning,RecHealer,HealingHumans,HealingAnimals,Midwifery,DiseaseNotes,PropertyDamage,WeatherModification,OtherMaleficiaNotes,OtherChargesNotes,ClaimedBewitched,ClaimedPossessed,AdmitLesserCharge,ClaimedNaturalCauses,Nodefence,DefenseNotes,CaseNotes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"C/EGD/10",10,"EGD",0,,"2/8/1649","08/02/49 00:00:00","2/8/1649","08/02/49 00:00:00",,"3 unnamed witches","commission for execution",,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,"certain persons from Haymouth.","SMD","05/15/01 17:00:16","jhm","07/30/02 15:32:43"
"C/EGD/100",100,"EGD",-1,"A/EGD/89","27/1/1591","01/27/91 00:00:00","8/5/1591","05/08/91 00:00:00",,"Kerington,Cristine",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,"Part of the North Berwick witch hunt.  It involved many people and many accustions about witches meetings, specifically two separate attempts to sink the royal ships.  The first to sink Queen Anne on her way home, second to trouble King James after he went to get her in Denmark.",0,"Said by others to have met the devil as a 'mekle black man'",0,,0,0,0,0,0,0,0,,,"See Agnes Sampson's case for description of North Berwick meeting (c/egd/63).  See also Napier (c/egd/103) for more details about the North Berwick meeting. Meeting said to have taken place at the kirk at North Berwick, and a trump was played as a musical instrument.",0,0,0,0,0,0,0,0,0,0,"In other accused's confession it was said that they had used corpse and corpse powder, and had met at halloween.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/10/02 14:51:54"
"C/EGD/1000",1000,"EGD",-1,"A/EGD/989","6/5/1627","05/06/27 00:00:00","6/5/1627","05/06/27 00:00:00",,"Craig,Christiane",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/09/02 15:52:09"
"C/EGD/1001",1001,"EGD",-1,"A/EGD/990",,,"25/4/1627","04/25/27 00:00:00",,"Ronaldson,Margaret",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","09/18/02 15:23:08"
"C/EGD/1002",1002,"EGD",-1,"A/EGD/991",,,"3/5/1627","05/03/27 00:00:00",,"Broun,Bessie",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","11/13/02 13:59:41"
"C/EGD/1003",1003,"EGD",-1,"A/EGD/992",,,"17/5/1627","05/17/27 00:00:00",,"Hendersoune,Margaret",,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,"Conversing with the Devil",0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:13:17"
"C/EGD/1005",1005,"EGD",-1,"A/EGD/994","17/11/1627","11/17/27 00:00:00","11/11/1630","11/11/30 00:00:00",,"Crystie,Katherene",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,"A very complicated case that moved back and forth from Edinburgh to Dysart during the course ofher two trials.  Definite factional politics at play amongst the bailies and ministers of Dysart. There is a source listed by MacDonald that we have not checked, which records a date of 30/8/1643.","SMD","05/15/01 17:00:16","jhm","10/01/02 10:35:52"
"C/EGD/1006",1006,"EGD",-1,"A/EGD/995",,,"23/4/1628","04/23/28 00:00:00",,"Reany,Jonnat",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:25:15"
"C/EGD/1007",1007,"EGD",-1,"A/EGD/996","5/6/1628","06/05/28 00:00:00","5/6/1628","06/05/28 00:00:00",,"Stowane,Mawsie",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:30:25"
"C/EGD/1008",1008,"EGD",-1,"A/EGD/997","6/5/1628","05/06/28 00:00:00","6/5/1628","05/06/28 00:00:00",,"Charters,Agnes",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:30:16"
"C/EGD/1009",1009,"EGD",-1,"A/EGD/998","6/5/1628","05/06/28 00:00:00","6/5/1628","05/06/28 00:00:00",,"Dungalson,Agnes",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:37:25"
"C/EGD/101",101,"EGD",-1,"A/EGD/90","27/1/1591","01/27/91 00:00:00","27/1/1591","01/27/91 00:00:00",,"Dun,Meg",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,,1,1,0,0,"Part of the North Berwick witch hunt.  It involved many people and many accustions about witches meetings, specifically two separate attempts to sink the royal ships.  The first to sink Queen Anne on her way home, the second to trouble King James after he went to get her in Denmark.",0,,0,,0,0,0,0,0,0,0,,,"Claimed by others that she was part of the planning of the conspiracy to sink Queen Anne'sI ships on the way from Denmark.  Said to have been at meetings at Beigis Tod's house and the salt pans. See Agnes Sampson's case for description of North Berwick meeting (c/egd/63).  She was supposedly part of the baptism of a cat.",0,0,0,0,0,0,0,0,0,0,"She was included in the ritual to tie joints to the feet of a cat and then cast it into the sea to raise storms.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,"Said to have been part of the plot to sink the ships of James VI and his wife Anne of Denmark. Claimed by others that they raised storms and winds.",,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","LEM","10/10/02 16:10:30"
"C/EGD/1010",1010,"EGD",-1,"A/EGD/999","6/5/1628","05/06/28 00:00:00","6/5/1628","05/06/28 00:00:00",,"Blaik,Helen",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:47:04"
"C/EGD/1011",1011,"EGD",-1,"A/EGD/1000","6/5/1628","05/06/28 00:00:00","6/5/1628","05/06/28 00:00:00",,"Aitkenhead,Christian",,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,,0,,0,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,,,"SMD","05/15/01 17:00:16","jhm","10/01/02 10:48:12"
