cve_inegi	state	municipality	year	aggr_sum	aggr_dummy	cvmr1000	menfeje1000	juxt1	juxt2	juxt3	juxt4	juxt5	juxt6	juxt7	juxt8	juxt9	juxtaposition	juxt_cvm	elect_local	elec_cvm	elect_fed	lag_neightotal	perc_tax	mpoff1000	alternancia_mun	alternancia_st	enp_mun	enp_st	center	northcenter	north	gulf	pacific	southeast	southwest
1001	"Aguascalientes"	"Aguascalientes"	2007	0	0.0	0.015962372	0.037245534	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.015962372	0	0.0	9.7619	0.030594544	0	0	2.04972	2.17842	0	1	0	0	0	0	0
1001	"Aguascalientes"	"Aguascalientes"	2008	0	0.0	0.019568041	0.028699793	0	1	0	0	0	0	0	0	0	1.0	0.019568041	0.0	0.0	0	0.0	8.88401	0.03652701	1	0	3.05795	2.17842	0	1	0	0	0	0	0
1001	"Aguascalientes"	"Aguascalientes"	2009	0	0.0	0.014073065	0.029425498	0	1	0	0	0	0	0	0	0	1.0	0.014073065	0.0	0.0	0	0.0	9.23109	0.035822347	1	0	3.05795	2.17842	0	1	0	0	0	0	0
1001	"Aguascalientes"	"Aguascalientes"	2010	0	0.0	0.010037515	0.043914128	0	1	0	0	0	0	0	0	0	1.0	0.010037515	1.0	0.010037515	0	0.0	9.78532	0.032621924	1	0	3.05795	2.17842	0	1	0	0	0	0	0
1001	"Aguascalientes"	"Aguascalientes"	2011	0	0.0	0.0061524226	0.035684053	0	0	0	0	1	0	0	0	0	4.0	0.02460969	0.0	0.0	0	0.0	8.88979	0.023379207	0	1	1.66998	2.31821	0	1	0	0	0	0	0
1002	"Aguascalientes"	"Asientos"	2007	0	0.0	0.0	0.023553241	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	1.13764	0.0	1	0	2.061	2.17842	0	1	0	0	0	0	0
1002	"Aguascalientes"	"Asientos"	2008	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0	0.0	0.814154	0.0	1	0	2.1294	2.17842	0	1	0	0	0	0	0
1002	"Aguascalientes"	"Asientos"	2009	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0	0.0	0.898651	0.0	1	0	2.1294	2.17842	0	1	0	0	0	0	0
1002	"Aguascalientes"	"Asientos"	2010	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	1.0	0.0	0	0.0	2.02061	0.0	1	0	2.1294	2.17842	0	1	0	0	0	0	0
1002	"Aguascalientes"	"Asientos"	2011	0	0.0	0.0	0.0	0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	0	0.0	1.42173	0.0	0	1	2.13533	2.31821	0	1	0	0	0	0	0
1002	"Aguascalientes"	"Asientos"	2012	0	0.0	0.0		0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	1	0.0	1.76795	0.0	0	1	2.13533	2.31821	0	1	0	0	0	0	0
1003	"Aguascalientes"	"Calvillo"	2007	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	2.47782	0.03866378	1	0	1.91254	2.17842	0	1	0	0	0	0	0
1003	"Aguascalientes"	"Calvillo"	2008	0	0.0	0.019040728	0.019040728	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	2.74286	0.038081456	0	0	3.08983	2.17842	0	1	0	0	0	0	0
1003	"Aguascalientes"	"Calvillo"	2009	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0	0.0	2.75743	0.037508674	0	0	3.08983	2.17842	0	1	0	0	0	0	0
1003	"Aguascalientes"	"Calvillo"	2010	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	2.64275	0.03694399	0	0	3.08983	2.17842	0	1	0	0	0	0	0
1003	"Aguascalientes"	"Calvillo"	2011	0	0.0	0.0	0.018194057	0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	0	0.0	4.59548	0.036388114	1	1	2.7845	2.31821	0	1	0	0	0	0	0
1003	"Aguascalientes"	"Calvillo"	2012	0	0.0	0.0		0	0	0	0	1	0	0	0	0	4.0	0.0	0.0	0.0	1	0.0	5.31922	0.035840366	1	1	2.7845	2.31821	0	1	0	0	0	0	0
1004	"Aguascalientes"	"Cos��o"	2007	0	0.0	0.0	0.0	1	0	0	0	0	0	0	0	0	0.0	0.0	1.0	0.0	0	0.0	2.29571	0.0	1	0	2.17815	2.17842	0	1	0	0	0	0	0
1004	"Aguascalientes"	"Cos��o"	2008	0	0.0	0.0	0.0	0	1	0	0	0	0	0	0	0	1.0	0.0	0.0	0.0	0	0.0	0.947394	0.0	1	0	2.40044	2.17842	0	1	0	0	0	0	0
