Tipologia;Proprietà;Indirizzo;Frazione;Comune
ALTRO;ITEA;Codice unita': 30100049;;BASELGA DI PINE'
ALLOGGIO;ITEA;Codice unita': 43100011;;TRENTO
ALLOGGIO;ITEA;Codice unita': 43100002;;TRENTO
ALLOGGIO;ITEA;VIALE DELLE ROBINIE 26;;TRENTO
ALLOGGIO;ITEA;VIALE DELLE ROBINIE 26;;TRENTO
ALLOGGIO;ITEA;VIALE DELLE ROBINIE 26;;TRENTO
ALLOGGIO;ITEA;VIALE DELLE ROBINIE 26;;TRENTO
ALLOGGIO;ITEA;VIA DEGASPERI 122/A;;AVIO
ALLOGGIO;ITEA;VIA DEGASPERI 122/A;;AVIO
ALLOGGIO;ITEA;VIA DEGASPERI 122/B;;AVIO
ALLOGGIO;ITEA;VIA RODODENDRI 15;;TESERO
ALLOGGIO;ITEA;VIA RODODENDRI 15;;TESERO
ALLOGGIO;ITEA;VIA RODODENDRI 13;;TESERO
ALLOGGIO;ITEA;VIA RODODENDRI 15;;TESERO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 20;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 20;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 20;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 20;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 18;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 20;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 21;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 21;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 21;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 21;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 17;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA L. DA VINCI 19;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 14;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 16;;ROVERETO
ALLOGGIO;ITEA;VIA G. GALILEI 12;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
ALLOGGIO;ITEA;VIA GALILEI 10/c;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
POSTO MACCHINA INTERNO;ITEA;VIA G. GALILEI ;;ROVERETO
