RIFER.,SEDE LAVORO,POSTI,IMPIEGO RICHIESTO,TIPO CONTRATTO,LINGUA RICHIESTA,RET. LORDA,DESCRIZIONE OFFERTA
18331901000024,Norvegia,6,Restaurant staff,Tempo determinato da maggio ad agosto,Inglese fluente + Vedi testo,"Da 3500
Fr/
mese","We will be working together with sales, preparing and cooking food, customer service, logistics, cash register and keeping the restaurant nice and clean. You have to be at least 18 to apply; be able to deal with stress; have a passion for customer service & language; fluent in English + additional language. German, French, Italian and Spanish are preferable; it-s a plus if you have experience from working in Customer Service & Restaurant; have a team spirit mindset. Big plus if you have a driving licence as well. How to apply : e-post: pontus@waynor.no Telefon: 0047 918 53 833"
083PZMM,Francia,1,Assistant export trilingue italien et anglais (H/F),Non specificato,Inglese; italiano; francese fluente,Da definire,"Vos missions principales sont les suivantes : Etablir les devis clients et assurer le suivi; Saisir et gérer les commandes clients; Organiser le transport et les livraisons clients (utilisation d'incoterms); Traiter les réclamations clients; Gérer la facturation et les modes de paiements (crédit documentaire), relances paiement. Relation avec les transitaires, les fournisseurs, la banque. Veiller aux bons respects des procedures. Diplômé d'un bac+2 minimum en Commerce International, vous avez une expérience d'au moins 2 ans à un poste similaire. Veuillez adresser par mail votre CV et une lettre de motivation, en précisant le numéro de l'offre : rh@grosseron.com"
4954752,Danimarca,1,Italian Sales Representative,Non specificato,Inglese; Italiano fluente,Da definire,"Minimum 2 + years sales experience, preferably in business development, lead generation, outbound calling or equivalent. Bachelor’s degree in marketing, mass communications, computer and information sciences or related field, or any equivalent combination of experience and training that provides the required knowledge, skills and abilities. Experience in Software-as-a-Service (SaaS) solutions sales. Excellent verbal and written communication skills. Ability to multi-task and adapt to a fast-paced environment. Understanding of websites, content management systems (CMS), social media and web technology. To apply https://urly.it/31gs0  .If you have any questions regarding the job or need a reasonable accommodation to apply, feel free to contact Jacob Bjerrehuus at jbj@siteimprove.com ."
-,"Berlino
Trento",1,Apprendista perito elettronico; Elettrotecnico,Inizialmente contratto di apprendistato con possibilità di conferma,Inglese Buono (B1-B2); Tedesco base,"Min 1000
Max
1170
€/mese",Ti stai diplomando e/o stai cercando un primo lavoro nel settore tecnico? L’ impresa internazionale SIEMENS offre a giovani diplomati/diplomandi nel settore elettrico-elettronico la possibilità di fare esperienza di studio e lavoro tramite un apprendistato della durata di 3 anni e 6 mesi. L’apprendistato avrà luogo per i primi 2 anni presso la Siemens di Berlino mentre il terzo anno presso la Siemens di Trento. Al termine viene offerta un’assunzione su Trento. Il programma inizia il 1/08/2019 con un corso intensivo di tedesco di un mese a Berlino. A settembre inizia l’apprendistato in azienda. CONDIZIONI OFFERTE : stipendio mensile; alloggio pagato dall’azienda; supporto all’arrivo a Berlino; contributo alle spese di viaggio . REQUISITI RICHIESTI: essere diplomati/diplomandi presso Istituto Tecnico Industriale; min. 18 max 22 anni; buona conoscenza dell’inglese (B1-B2); conoscenza base del tedesco; interesse e passione per il lavoro in ambito tecnico. Per candidarsi: inviare CV + lettera di presentazione entro il 15 aprile 2019 a: eures@agenzialavoro.tn.it specificando in oggetto SIEMENS
10531631,Svezia,1,Italian speaking purchase,Non specificato,Inglese; italiano fluente,Da definire,"This is a varied Purchasing role, where your main responsibility will be to work with Purchasing related activities. You will have a lot of internal and external contacts and your responsibilities. This is You: have an Educational degree and a few years experience from a Purchaser role, preferably within the Industry..Any additional languages will be of great advantage. Computer skills, especially experience from MS Excel and Visma or a similar software (like MS Dynamics NAV or SAP), will help you a lot in your new job. Your application: https://urly.it/31gra clicking the apply button, adding your CV and a short Motivation letter. Questions about the position will be answered by HR Manager Marcus Engblad through 0046-724027375"
51485,Islanda,1,Pizza chef,Tempo determinato,Inglese Buono,Da definire,"Job details/requirements: Experience in making pizzas in a stone bottom pizza oven; support the head chef in the daily operation and work; prepare the daily mise-en-place and food production in different sections of the main kitchen; preferably also have kitchen experience besides making pizzas. We offer you: a good salary according to Icelandic union and experience; accommodation; furnished with Wi-Fi, possibility to stay longer for the winter season. Please apply before 15th of may 2019 by filling in an online application here: www.vinnumalastofnun.is/eures and put ""EUR190313-03"" in the field for employer. For more information contact nick@hotelaldan.is"
4956299,Danimarca,1,Regional Key account manager - Italy,Non specificato,Inglese; italiano fluente,Da definire,"Requirements: possess good business acumen; are dedicated to achieve and close deals; have a strong drive and ability to achieve results; are structured, detail-oriented and have the ability to work independently; strong command of Excel and MS Office; It is an advantage to have sales experience . If you speak more languages than English and Italian (e.g. Spanish, Portuguese and/or French) this will be an advantage. Any questions can be directed to General Manager, Lotte Vardinghus at tel. +45 9673 0817 or mail to: lva@epoka.com . Please send your application and CV at jobs@epoka.com mention “Regional Key Account Manager, Italy” in the subject field."
-,"Italia
Lazise",1,Receptionist,Non specificato,Inglese; Tedesco fluente + Vedi testo,"Min 1500€
Max
1800€
netto
mese","Camping Village Du Parc, Lazise,Italy is looking for a front-office receptionist for reception tasks, customer care, check-in and check out. AVAILABILITY : 08.04-31.10. German really good-English good, Italian-dutch appreciated. Free accommodation (a single room in a mobile home to shar); 8 working hours per day; 1 day off per week; meals not included; travel refund not included. Send your cv + picture to : lavoro@campingduparc.com  www.campingduparc.com"
2099681,Irlanda,11,Customer Service Representative in Athens,Non specificato,Italiano fluente; Inglese buono,Da definire,"Responsibilities: Solving customers queries by phone-emails ; excellent level of customer services; strong professional relationships. Requirements : European nationality; Very good knowledge of computers; Willing to relocate to Athens, Greece. Benefits: Excellent Basic Salary; Flight ticket provided to Athens; 2 weeks free hotel accommodation; Free Greek language courses ; Monthly performance bonus ; 175% day salary if work on Sunday or Greek holidays ; Overtime paid; 2 extra full salaries paid per year (pro rata); Training provided (paid); International working environment. Apply through https://jobsireland.ie/en-US/job-Details?id=2099681"
12091902000474,Norvegia,1,Dispatch personnel,Maggio – agosto 2019,Inglese fluente + Vedi testo,Da definire,"The Dispatch Team works outside in all weather conditions and remain positive in even the most challenging situations; Our dispatch personnel must speak English. Other languages in addition are an advantage but not necessary, such as German,Spanish, French, Italian; Being able to speak Norwegian is an advantage; All dispatch personnel must undertake our training programme , and stay in Bergen to work;. How to apply: www.norwegianguideservice.no/join-dispatch"
