constellation,type,ra,dec,description
Andromeda,0,3717,2539,move gamma 1
Andromeda,1,2091,2137,draw beta
Andromeda,1,1179,1851,draw delta
Andromeda,1,251,1745,draw alpha
Andromeda,0,1716,1405,move eta
Andromeda,1,1420,1456,draw zeta
Andromeda,1,1156,1758,draw epsilon
Andromeda,1,1179,1851,draw delta
Andromeda,1,1106,2023,draw pi
Andromeda,1,512,2320,draw theta
Andromeda,1,42544,2596,draw iota
Andromeda,1,42612,2660,draw kappa
Andromeda,1,42526,2787,draw lambda
Andromeda,0,42544,2596,move iota
Andromeda,1,41457,2539,draw omicron
Andromeda,0,1106,2023,move pi
Andromeda,1,2091,2137,draw beta
Andromeda,1,1702,2309,draw mu
Andromeda,1,1494,2464,draw nu
Andromeda,1,2085,2834,draw phi
Andromeda,1,2939,2917,draw 51
Andromeda,-1,0,0,
Antlia,0,17077,-2157,move epsilon
Antlia,2,18814,-1864,dotted alpha
Antlia,2,19701,-2228,dotted iota
Antlia,-1,0,0,
Apus,0,26635,-4742,move alpha
Apus,2,29803,-4733,dotted gamma
Apus,2,30092,-4651,dotted beta
Apus,2,29410,-4721,dotted delta 1
Apus,2,29803,-4733,dotted gamma
Apus,-1,0,0,
Aquarius,0,37430,-569,move epsilon
Aquarius,1,38746,-334,draw beta
Aquarius,1,39773,-19,draw alpha
Aquarius,1,40249,-83,draw gamma
Aquarius,1,40464,-1,draw zeta 1
Aquarius,1,40358,82,draw pi
Aquarius,1,39773,-19,draw alpha
Aquarius,0,40464,-1,move zeta 1
Aquarius,1,40660,-7,draw eta
Aquarius,0,38746,-334,move beta
Aquarius,1,39793,-832,draw iota
Aquarius,0,39773,-19,move alpha
Aquarius,1,40105,-467,draw theta
Aquarius,1,41178,-454,draw lambda
Aquarius,1,41829,-362,draw phi
Aquarius,1,41937,-550,draw psi 2
Aquarius,1,41239,-949,draw delta
Aquarius,1,41087,-815,draw tau 2
Aquarius,1,41178,-454,draw lambda
Aquarius,0,42089,-1206,move 98
Aquarius,1,41937,-550,draw psi 2
