VOYAGEID,YEARAM,NATINIMP,MJBYPTIMP,MJSLPTIMP
1,1817,Portugal/Brazil,60820,50299
2,1817,Portugal/Brazil,60820,50299
3,1817,Portugal/Brazil,60711,50299
4,1817,Portugal/Brazil,60822,50299
5,1817,Portugal/Brazil,60711,50299
6,1817,Portugal/Brazil,60820,50299
7,1817,Portugal/Brazil,60725,50299
8,1817,Portugal/Brazil,60734,50299
9,1817,Portugal/Brazil,60711,50299
10,1817,,60711,50299
11,1817,Portugal/Brazil,60711,50299
12,1817,Portugal/Brazil,60711,50299
13,1817,Portugal/Brazil,60734,50299
14,1817,Portugal/Brazil,60711,50299
15,1817,Portugal/Brazil,60711,50299
16,1817,Portugal/Brazil,60711,50299
17,1817,Portugal/Brazil,60711,50422
18,1817,Portugal/Brazil,60711,50422
19,1817,Portugal/Brazil,60711,50422
20,1817,Portugal/Brazil,60707,50422
21,1817,Portugal/Brazil,60822,50422
22,1817,Portugal/Brazil,60734,50422
23,1817,Portugal/Brazil,60711,50422
24,1817,Portugal/Brazil,60999,50422
25,1817,Portugal/Brazil,60711,50422
26,1817,Portugal/Brazil,60707,50422
27,1817,Portugal/Brazil,60711,50422
28,1817,Portugal/Brazil,60711,50422
29,1817,Portugal/Brazil,60711,50422
30,1817,Portugal/Brazil,60734,50422
31,1817,Portugal/Brazil,60820,50422
32,1817,Portugal/Brazil,60711,50422
33,1817,Portugal/Brazil,60711,50422
34,1817,Portugal/Brazil,60711,50422
35,1817,Portugal/Brazil,60711,50422
36,1817,Portugal/Brazil,60734,50422
37,1817,Portugal/Brazil,60707,50422
38,1817,Portugal/Brazil,60711,50422
39,1817,Portugal/Brazil,60734,50422
40,1817,Portugal/Brazil,60711,50422
41,1817,Portugal/Brazil,60734,50422
42,1817,Portugal/Brazil,60734,50422
43,1817,Portugal/Brazil,60734,50422
44,1817,Portugal/Brazil,60711,50422
45,1817,Portugal/Brazil,60711,50422
46,1817,Portugal/Brazil,60711,50422
47,1817,Portugal/Brazil,60707,50422
48,1817,Portugal/Brazil,60734,50422
49,1817,Portugal/Brazil,60707,50422
50,1817,Portugal/Brazil,60711,50422
51,1817,Portugal/Brazil,60711,50422
52,1817,Portugal/Brazil,60711,50422
53,1817,Portugal/Brazil,60711,50422
54,1817,Portugal/Brazil,60711,50422
55,1817,Portugal/Brazil,60820,50422
56,1817,Portugal/Brazil,60707,50422
57,1817,Portugal/Brazil,60734,50422
58,1817,Portugal/Brazil,60820,50422
59,1818,Portugal/Brazil,60711,50422
60,1818,Portugal/Brazil,60711,50422
61,1818,Portugal/Brazil,60820,50422
62,1818,Portugal/Brazil,60822,50404
63,1818,Portugal/Brazil,60711,50422
64,1818,Portugal/Brazil,60711,50422
65,1818,Portugal/Brazil,60711,50422
66,1818,Portugal/Brazil,60711,50422
67,1818,Portugal/Brazil,60711,50422
68,1818,Portugal/Brazil,60711,50422
69,1818,Portugal/Brazil,60820,50422
70,1818,Portugal/Brazil,60822,50422
71,1818,Portugal/Brazil,60711,50422
72,1818,Portugal/Brazil,60707,50422
73,1818,Portugal/Brazil,60711,50422
74,1818,Portugal/Brazil,60711,50422
75,1818,Portugal/Brazil,60711,50422
76,1818,Portugal/Brazil,60822,50422
77,1818,Portugal/Brazil,60711,50422
78,1818,Portugal/Brazil,60711,50422
79,1818,Portugal/Brazil,60734,50422
80,1818,Portugal/Brazil,60711,50422
81,1818,Portugal/Brazil,60711,50422
82,1818,Portugal/Brazil,60711,50422
83,1818,Portugal/Brazil,60711,50422
84,1818,Portugal/Brazil,60711,50422
85,1818,Portugal/Brazil,60734,50422
86,1818,Portugal/Brazil,60711,50422
87,1818,Portugal/Brazil,60820,50422
88,1818,Portugal/Brazil,60711,50422
89,1818,Portugal/Brazil,60711,50422
90,1818,Portugal/Brazil,60711,50422
91,1818,Portugal/Brazil,60734,50422
92,1818,Portugal/Brazil,60707,50422
93,1818,Portugal/Brazil,60711,50422
94,1818,Portugal/Brazil,60711,50422
95,1818,Portugal/Brazil,60711,50422
96,1818,Portugal/Brazil,60711,50422
97,1818,Portugal/Brazil,60711,50422
98,1818,Portugal/Brazil,60711,50422
99,1818,Portugal/Brazil,60734,50422
100,1818,Portugal/Brazil,60707,50422
101,1818,Portugal/Brazil,60711,50422
102,1818,Portugal/Brazil,60717,50422
103,1818,Portugal/Brazil,60711,50422
104,1818,Portugal/Brazil,60711,50422
