Code,State,Year,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
1001,1,1990,0,0,0,0,0,0,0,0,0,0
1001,1,1991,0,0,0,0,0,0,0,0,0,0
1001,1,1992,0,0,0,0,0,0,0,0,0,0
1001,1,1993,0,0,0,0,0,0,0,0,0,0
1001,1,1994,0,0,0,0,0,0,0,0,0,0
1001,1,1995,0,0,0,0,0,0,0,0,0,0
1001,1,1996,0,0,0,0,0,0,0,0,0,0
1001,1,1997,0,0,0,0,0,1,0,0,0,0
1001,1,1998,0,0,0,0,0,0,0,0,0,0
1001,1,1999,0,0,0,0,0,0,0,0,0,0
1001,1,2000,0,0,0,0,0,0,0,0,0,0
1001,1,2001,0,0,0,0,0,1,0,0,0,0
1001,1,2002,0,0,0,0,0,0,0,0,0,0
1001,1,2003,0,0,0,0,0,0,0,1,0,0
1001,1,2004,0,0,0,0,1,0,0,0,1,0
1001,1,2005,0,0,1,0,0,0,0,0,0,0
1001,1,2006,0,0,0,0,0,0,0,1,1,0
1001,1,2007,0,0,1,0,0,0,0,0,1,0
1001,1,2008,0,0,1,0,1,0,0,0,0,0
1001,1,2009,0,0,1,1,0,1,0,0,1,0
1001,1,2010,0,0,1,0,1,0,0,0,1,0
1002,1,1990,0,0,0,0,0,0,0,0,0,0
1002,1,1991,0,0,0,0,0,0,0,0,0,0
1002,1,1992,0,0,0,0,0,0,0,0,0,0
1002,1,1993,0,0,0,0,0,0,0,0,0,0
1002,1,1994,0,0,0,0,0,0,0,0,0,0
1002,1,1995,0,0,0,0,0,0,0,0,0,0
1002,1,1996,0,0,0,0,0,0,0,0,0,0
1002,1,1997,0,0,0,0,0,0,0,0,0,0
1002,1,1998,0,0,0,0,0,0,0,0,0,0
1002,1,1999,0,0,0,0,0,0,0,0,0,0
1002,1,2000,0,0,0,0,0,0,0,0,0,0
1002,1,2001,0,0,0,0,0,0,0,0,0,0
1002,1,2002,0,0,0,0,1,0,0,0,0,0
1002,1,2003,0,0,0,0,0,0,0,0,0,0
1002,1,2004,0,0,0,0,0,0,0,0,1,0
1002,1,2005,0,0,0,0,1,0,0,0,0,0
1002,1,2006,0,0,0,0,1,0,0,0,1,0
1002,1,2007,0,0,0,0,0,1,0,0,1,0
