Frazione/Località,Numero,Insegna,Indirizzo,Note,Comune,Cap,Civico,Categorie
Piscine di Sover,1,BAZZANELLA RENATA,Via del Lagorai,"generi misti, bar - ristorante",Sover,38068,30,"['BAR', 'RISTORANTE']"
,2,CONFEZIONI MONTIBELLER S.R.L.,Corso Ausugum,esercizio commerciale,Borgo Valsugana,38051,48,[]
,3,FOTOGRAFICA TRINTINAGLIA UMBERTO S.N.C.,Largo Dordi,"esercizio commerciale, attività artigianale",Borgo Valsugana,38051,8,[]
Serafini,4,BAR SERAFINI DI MINATI RENZO,,esercizio commerciale,Grigno,38055,24,['BAR']
,6,SEMBENINI GINO & FIGLI S.R.L.,Via S. Francesco,,Riva del Garda,38066,35,[]
Nave San Felice,7,HOTEL RISTORANTE PIZZERIA “ALLA NAVE”,Via Nazionale,,Lavis,38015,29,"['RISTORANTE', 'HOTEL', 'PIZZERIA']"
,8,OBRELLI GIOIELLERIA DAL 1929 S.R.L.,Via Roma,,Lavis,38015,33,[]
,9,MACELLERIE TROIER S.A.S. DI TROIER DARIO E C.,Via Roma,,Lavis,38015,13,[]
,10,NARDELLI TIZIANO,Piazza Manci,esercizio commerciale,Lavis,38015,5,[]
,11,PASTICCERIA SILVANO DI ANDREOLLI SILVANO& C.,Via Matteotti,,Lavis,38015,37,[]
,13,LONA S.N.C. DI LONA ROBERTO & C.,Piazza Manci,esercizio commerciale,Lavis,38015,1,[]
,14,GADOTTI CALZATURE DI GADOTTI MARCO,Via Matteotti,,Lavis,38015,59,['CALZATURE']
,15,BAR LEON D’ORO DI DELLAI LORENA,Piazza Cesare Battisti,,Lavis,38015,4,['BAR']
,16,TURCO CALZATURE DI TURCO CORRADO,Via Filzi,,Lavis,38015,1,['CALZATURE']
,17,FARMACIA ROMANI DOTT. ALBERTO ERRIGO & C. S.N.C.,Via Filzi,,Lavis,38015,1,['FARMACIA']
Pressano,18,FAMIGLIA COOPERATIVA MEZZOLOMBARDO E PRESSANO SOC. COOP.,Piazza Giovanni della Croce,,Lavis,38015,,['BAR']
,19,CONFEZIONI DANTI DI PELKAN WILMA & C. S.A.S.,Viale San Francesco,,Riva del Garda,38066,22,[]
,20,DELUGAN GUIDO E GINO S.N.C.,Via Pennella,attività artigianale,Pergine Valsugana,38057,32,[]
,21,FRUTTA E VERDURA SPRINGHETTI GILBERTO,Piazza Prati,,Cavareno,38011,27,[]
,22,LARCHER SPORT,Via Moscabio,,Cavareno,38011,2,['SPORT']
,23,BAR GELATERIA EREDI CAVALLAR DOMENICO,Piazza Prati,,Cavareno,38011,21,['BAR']
,24,EDICOLA TABACCHI GENETTI ANNAMARIA,Via Roma,,Cavareno,38011,43,['TABACCHI']
,25,MERCERIE CATTARINI TIZIANA,Piazza Prati,,Cavareno,38011,12,[]
,26,ZANI FABIO S.A.S. FERRAMENTA,Via Roma,,Cavareno,38011,49,['FERRAMENTA']
,27,LATTERIA SOCIALE CAVARENO,Via Moscabio,,Cavareno,38011,19,[]
,28,RISTORANTE AL VOLT DI LABRIOLA MICHELANGELO,Piazza Municipio,,Pergine Valsugana,38057,10,['RISTORANTE']
,29,RISTORANTE PIZZERIA NUOVO CORONA DI PALMIERI TOMMASO,Piazza Manci,,Lavis,38015,2,"['RISTORANTE', 'PIZZERIA']"
,30,BAR ALBERGO CORONA S.N.C. DI PRONER RICCARDA & C.,Piazza Manci,,Lavis,38015,6,"['BAR', 'ALBERGO']"
,31,SARTORI GIUSEPPE & C. S.N.C. ,Via Clementi,esercizio commerciale,Lavis,38015,47,[]
,33,TORREFAZIONE CAFFE’ BONTADI,Vicolo del Messaggero,,Rovereto,38068,10,[]
,34,COLORIFICIO LUCIANO CARESIA DI DANIELA CARESIA,Via Tartarotti,,Rovereto,38068, 50/A,[]
,35,FARMACIA COBELLI,Via Mazzini,,Rovereto,38068,10,['FARMACIA']
,36,BAR MANIFATTURA,Piazza Manifattura,,Rovereto,38068, 5/6,['BAR']
,37,BAR DUE COLONNE,Piazza del Podestà,,Rovereto,38068,9,['BAR']
,39,"PANIFICIO COLLER S.N.C. DI COLLER CLAUDIO, ANDREA & C.",Largo S. Floriano,,Rovereto,38068,5,['PANIFICIO']
,40,CAPPELLERIA BACCA,Via Rialto,,Rovereto,38068,39,[]
,41,BAR-TRATTORIA BELLAVISTA,Via Paganini,,Rovereto,38068,17,['BAR']
,42,DROGHERIA MICHELI,Via Mercerie,,Rovereto,38068, 16/18,[]
